T,v,u,h,s,v,u,h,s,v,u,h,s
°C,m3/kg,kJ/kg,kJ/kg,kJ/kg K,m3/kg,kJ/kg,kJ/kg,kJ/kg K,m3/kg,kJ/kg,kJ/kg,kJ/kg K
Pressure,P,5,MPa,(263.94C),P,10,MPa,(311.00C),P  15 MPa (342.16C),,,
Sat.,0.0012862,1148.1,1154.5,2.9207,0.0014522,1393.3,1407.9,3.3603,0.0016572,1585.5,1610.3,3.6848
0,0.0009977,0.04,5.03,0.0001,0.0009952,0.12,10.07,0.0003,0.0009928,0.18,15.07,0.0004
20,0.0009996,83.61,88.61,0.2954,0.0009973,83.31,93.28,0.2943,0.0009951,83.01,97.93,0.2932
40,0.0010057,166.92,171.95,0.5705,0.0010035,166.33,176.37,0.5685,0.0010013,165.75,180.77,0.5666
60,0.0010149,250.29,255.36,0.8287,0.0010127,249.43,259.55,0.826,0.0010105,248.58,263.74,0.8234
80,0.0010267,333.82,338.96,1.0723,0.0010244,332.69,342.94,1.0691,0.0010221,331.59,346.92,1.0659
100,0.0010410,417.65,422.85,1.3034,0.0010385,416.23,426.62,1.2996,0.0010361,414.85,430.39,1.2958
120,0.0010576,501.91,507.19,1.5236,0.0010549,500.18,510.73,1.5191,0.0010522,498.5,514.28,1.5148
140,0.0010769,586.8,592.18,1.7344,0.0010738,584.72,595.45,1.7293,0.0010708,582.69,598.75,1.7243
160,0.0010988,672.55,678.04,1.9374,0.0010954,670.06,681.01,1.9316,0.0010920,667.63,684.01,1.9259
180,0.0011240,759.47,765.09,2.1338,0.0011200,756.48,767.68,2.1271,0.0011160,753.58,770.32,2.1206
200,0.0011531,847.92,853.68,2.3251,0.0011482,844.32,855.8,2.3174,0.0011435,840.84,858,2.3100
220,0.0011868,938.39,944.32,2.5127,0.0011809,934.01,945.82,2.5037,0.0011752,929.81,947.43,2.4951
240,0.0012268,1031.6,1037.7,2.6983,0.0012192,1026.2,1038.3,2.6876,0.0012121,1021,1039.2,2.6774
260,0.0012755,1128.5,1134.9,2.8841,0.0012653,1121.6,1134.3,2.871,0.0012560,1115.1,1134,2.8586
280,-,-,-,-,0.0013226,1221.8,1235,3.0565,0.0013096,1213.4,1233,3.0410
300,-,-,-,-,0.0013980,1329.4,1343.3,3.2488,0.0013783,1317.6,1338.3,3.2279
320,-,-,-,-,-,-,-,-,0.0014733,1431.9,1454,3.4263
340,-,-,-,-,-,-,-,-,0.0016311,1567.9,1592.4,3.6555
